site_no,station_nm,dec_lat_va,dec_long_va,begin_date,end_date,drain_area_va,sd_count
06902000,"Grand River near Sumner, MO",39.64002778,-93.2736944,2017-06-28,2023-09-17,6880,1239
06901500,"Locust Creek near Linneus, MO",39.89594444,-93.2365278,2020-09-16,2023-09-17,550,879
06934500,"Missouri River at Hermann, MO",38.70980556,-91.4385,2015-03-25,2023-09-17,522500,4067
01463500,Delaware River at Trenton NJ,40.22166667,-74.7780556,2018-01-11,2023-04-05,6780,289
04183500,Maumee River at Antwerp OH,41.19893889,-84.7444033,2018-02-06,2023-09-17,2129,58
01574000,"West Conewago Creek near Manchester, PA",40.0809008,-76.7180813,2020-09-17,2023-09-17,510,887
01575598,"Codorus Creek near Saginaw, PA",40.0522222,-76.6544444,2020-09-17,2023-09-17,277,36
01576007,"Kreutz Creek at Strickler, PA",40.01416667,-76.5480556,2020-09-17,2023-09-17,32.3,39
01577500,"Muddy Creek at Castle Fin, PA",39.77260378,-76.3157919,2020-09-17,2023-09-17,133,123
06478513,JAMES RIVER NR YANKTON SD,42.9958297,-97.3697806,2019-04-29,2023-09-17,20962,337
06481000,"BIG SIOUX RIVER NEAR DELL RAPIDS,SD",43.79044595,-96.7456623,2017-04-06,2023-09-17,3927,1371
08195000,"Frio Rv at Concan, TX",29.48856496,-99.7047756,2015-09-24,2023-09-17,389,897
08181800,"San Antonio Rv nr Elmendorf, TX",29.2221853,-98.3558463,2019-04-15,2023-09-17,1743,550
08155500,"Barton Spgs at Austin, TX",30.26354169,-97.7713947,2020-01-23,2023-09-17,NA,284
08188500,"San Antonio Rv at Goliad, TX",28.6492861,-97.3848583,2019-04-03,2023-09-13,3921,900
01632900,"SMITH CREEK NEAR NEW MARKET, VA",38.69345016,-78.6427935,2012-03-22,2023-09-17,93.6,540
02035000,"JAMES RIVER AT CARTERSVILLE, VA",37.67097957,-78.0858328,2014-07-30,2023-09-12,6252,849
0167300055,"MECHUMPS CREEK AT HILL CARTER PKWY AT ASHLAND, VA",37.75669444,-77.463,2020-08-25,2023-09-17,1.09,34
01645762,"S F LITTLE DIFFICULT RUN ABOVE MOUTH NR VIENNA, VA",38.90888916,-77.3382627,2016-10-26,2023-09-17,2.71,142
01673000,"PAMUNKEY RIVER NEAR HANOVER, VA",37.76764189,-77.332201800000007,2016-09-15,2023-09-17,1078,766
01646000,"DIFFICULT RUN NEAR GREAT FALLS, VA",38.97594346,-77.24581439,2012-10-19,2023-09-17,57.8,777
01654000,"ACCOTINK CREEK NEAR ANNANDALE, VA",38.81289066,-77.2283158,2015-10-08,2023-09-17,23.9,734
12212050,"FISHTRAP CREEK AT FRONT STREET AT LYNDEN, WA",48.9387257,-122.4790532,2018-04-26,2022-01-24,37.8,194
12510500,"YAKIMA RIVER AT KIONA, WA",46.25346748,-119.4780794,2018-06-26,2021-10-01,5615,635
04080798,"TOMORROW RIVER NEAR NELSONVILLE, WI",44.5244444,-89.3377778,2014-09-10,2017-10-12,40,99
