stage_ft,Q_cfs,site_no,type
41.89,1150000,07374000,raw
43.76,1260000,07374000,raw
43.95,1250000,07374000,raw
42.63,1180000,07374000,raw
42.6,1190000,07374000,raw
40.49,1080000,07374000,raw
33.85,797000,07374000,raw
21.36,486000,07374000,raw
14,350000,07374000,raw
20.71,487000,07374000,raw
20.72,484000,07374000,raw
28.25,665000,07374000,raw
23.3,550000,07374000,raw
33.91,882000,07374000,raw
36.91,1040000,07374000,raw
41.16,1220000,07374000,raw
38.6,1090000,07374000,raw
39.23,1080000,07374000,raw
36.09,923000,07374000,raw
38.4,1010000,07374000,raw
33.5,805000,07374000,raw
16.7,407000,07374000,raw
14.97,380000,07374000,raw
17.22,429000,07374000,raw
14.57,366000,07374000,raw
12.43,335000,07374000,raw
12.83,346000,07374000,raw
23.25,547000,07374000,raw
17.2,441000,07374000,raw
19.81,481000,07374000,raw
33.27,885000,07374000,raw
37.44,1040000,07374000,raw
38.59,1050000,07374000,raw
34.5,897000,07374000,raw
31.29,756000,07374000,raw
27.7,647000,07374000,raw
24.1,560000,07374000,raw
21.58,527000,07374000,raw
23.72,564000,07374000,raw
17.59,441000,07374000,raw
10.96,312000,07374000,raw
11.85,327000,07374000,raw
9.34,265000,07374000,raw
10.43,292000,07374000,raw
8.56,245000,07374000,raw
14.19,378000,07374000,raw
29.14,744000,07374000,raw
23.19,572000,07374000,raw
27.87,711000,07374000,raw
34.3,942000,07374000,raw
35.27,962000,07374000,raw
32.13,845000,07374000,raw
33.2,851000,07374000,raw
31.63,776000,07374000,raw
28.7,681000,07374000,raw
9.44,280000,07374000,raw
9.41,273000,07374000,raw
13.48,356000,07374000,raw
8.05,227000,07374000,raw
5.5,161000,07374000,raw
9.58,275000,07374000,raw
14.41,380000,07374000,raw
19.32,474000,07374000,raw
26.74,691000,07374000,raw
27.61,693000,07374000,raw
3.5,129330,07374000,model
3.51,129566.09,07374000,model
3.52,129802.24,07374000,model
3.53,130038.46,07374000,model
3.54,130274.75,07374000,model
3.55,130511.11,07374000,model
3.56,130747.53,07374000,model
3.57,130984.02,07374000,model
3.58,131220.58,07374000,model
3.59,131457.2,07374000,model
3.6,131693.89,07374000,model
3.61,131930.65,07374000,model
3.62,132167.48,07374000,model
3.63,132404.37,07374000,model
3.64,132641.33,07374000,model
3.65,132878.35,07374000,model
3.66,133115.44,07374000,model
3.67,133352.6,07374000,model
3.68,133589.82,07374000,model
3.69,133827.11,07374000,model
3.7,134064.47,07374000,model
3.71,134301.89,07374000,model
3.72,134539.38,07374000,model
3.73,134776.93,07374000,model
3.74,135014.55,07374000,model
3.75,135252.24,07374000,model
3.76,135489.99,07374000,model
3.77,135727.81,07374000,model
3.78,135965.69,07374000,model
3.79,136203.64,07374000,model
3.8,136441.65,07374000,model
3.81,136679.73,07374000,model
3.82,136917.87,07374000,model
3.83,137156.08,07374000,model
3.84,137394.35,07374000,model
3.85,137632.69,07374000,model
3.86,137871.09,07374000,model
3.87,138109.56,07374000,model
3.88,138348.1,07374000,model
3.89,138586.69,07374000,model
3.9,138825.35,07374000,model
3.91,139064.08,07374000,model
3.92,139302.87,07374000,model
3.93,139541.73,07374000,model
3.94,139780.65,07374000,model
3.95,140019.63,07374000,model
3.96,140258.68,07374000,model
3.97,140497.79,07374000,model
3.98,140736.96,07374000,model
3.99,140976.2,07374000,model
4,141215.51,07374000,model
4.01,141454.87,07374000,model
4.02,141694.31,07374000,model
4.03,141933.8,07374000,model
4.04,142173.36,07374000,model
4.05,142412.98,07374000,model
4.06,142652.66,07374000,model
4.07,142892.41,07374000,model
4.08,143132.22,07374000,model
4.09,143372.1,07374000,model
4.1,143612.03,07374000,model
4.11,143852.03,07374000,model
4.12,144092.1,07374000,model
4.13,144332.22,07374000,model
4.14,144572.41,07374000,model
4.15,144812.66,07374000,model
4.16,145052.98,07374000,model
4.17,145293.35,07374000,model
4.18,145533.79,07374000,model
4.19,145774.29,07374000,model
4.2,146014.86,07374000,model
4.21,146255.48,07374000,model
4.22,146496.17,07374000,model
4.23,146736.92,07374000,model
4.24,146977.73,07374000,model
4.25,147218.61,07374000,model
4.26,147459.55,07374000,model
4.27,147700.54,07374000,model
4.28,147941.6,07374000,model
4.29,148182.73,07374000,model
4.3,148423.91,07374000,model
4.31,148665.16,07374000,model
4.32,148906.46,07374000,model
4.33,149147.83,07374000,model
4.34,149389.26,07374000,model
4.35,149630.75,07374000,model
4.36,149872.3,07374000,model
4.37,150113.92,07374000,model
4.38,150355.59,07374000,model
4.39,150597.32,07374000,model
4.4,150839.12,07374000,model
4.41,151080.98,07374000,model
4.42,151322.9,07374000,model
4.43,151564.88,07374000,model
4.44,151806.91,07374000,model
4.45,152049.01,07374000,model
4.46,152291.18,07374000,model
4.47,152533.4,07374000,model
4.48,152775.68,07374000,model
4.49,153018.02,07374000,model
4.5,153260.42,07374000,model
4.51,153502.89,07374000,model
4.52,153745.41,07374000,model
4.53,153987.99,07374000,model
4.54,154230.63,07374000,model
4.55,154473.34,07374000,model
4.56,154716.1,07374000,model
4.57,154958.92,07374000,model
4.58,155201.81,07374000,model
4.59,155444.75,07374000,model
4.6,155687.75,07374000,model
4.61,155930.81,07374000,model
4.62,156173.93,07374000,model
4.63,156417.11,07374000,model
4.64,156660.35,07374000,model
4.65,156903.65,07374000,model
4.66,157147.01,07374000,model
4.67,157390.43,07374000,model
4.68,157633.9,07374000,model
4.69,157877.44,07374000,model
4.7,158121.04,07374000,model
4.71,158364.69,07374000,model
4.72,158608.4,07374000,model
4.73,158852.17,07374000,model
4.74,159096.01,07374000,model
4.75,159339.89,07374000,model
4.76,159583.84,07374000,model
4.77,159827.85,07374000,model
4.78,160071.91,07374000,model
4.79,160316.04,07374000,model
4.8,160560.22,07374000,model
4.81,160804.46,07374000,model
4.82,161048.76,07374000,model
4.83,161293.12,07374000,model
4.84,161537.53,07374000,model
4.85,161782,07374000,model
4.86,162026.53,07374000,model
4.87,162271.12,07374000,model
4.88,162515.77,07374000,model
4.89,162760.48,07374000,model
4.9,163005.24,07374000,model
4.91,163250.06,07374000,model
4.92,163494.94,07374000,model
4.93,163739.87,07374000,model
4.94,163984.87,07374000,model
4.95,164229.92,07374000,model
4.96,164475.03,07374000,model
4.97,164720.19,07374000,model
4.98,164965.41,07374000,model
4.99,165210.69,07374000,model
5,165456.03,07374000,model
5.01,165701.43,07374000,model
5.02,165946.88,07374000,model
5.03,166192.39,07374000,model
5.04,166437.95,07374000,model
5.05,166683.58,07374000,model
5.06,166929.26,07374000,model
5.07,167174.99,07374000,model
5.08,167420.79,07374000,model
5.09,167666.64,07374000,model
5.1,167912.54,07374000,model
5.11,168158.51,07374000,model
5.12,168404.53,07374000,model
5.13,168650.6,07374000,model
