site_no,Q_uncertainty,N_load_diff_kg
01184000,20.72967520658972,20.72967520658972
01463500,4.664517791159311,4.664517791159311
01493112,54.580129287264384,54.580129287264384
01573660,50.393084940189595,50.393084940189595
01632900,34.41382287652218,34.41382287652218
01645762,52.73878253665755,52.73878253665755
01646000,21.699148563487654,21.699148563487654
01648010,14.160620175433719,14.160620175433719
01654000,100,100
01673000,69.34673821682166,69.34673821682166
02035000,13.395357850084183,13.395357850084183
02319302,105.83480948175149,105.83480948175149
02322688,42.567754720029484,42.567754720029484
02322700,23.938805595272882,23.938805595272882
02326526,26.540942391101307,26.540942391101307
03275500,21.19968003606899,21.19968003606899
03290500,195.227885644491,195.227885644491
03336890,30.150916367116555,30.150916367116555
03339000,38.34454410338047,38.34454410338047
03343820,62.76256020167214,62.76256020167214
03346500,37.259432881188225,37.259432881188225
03353415,41.844475795257516,41.844475795257516
03374100,48.8758464908521,48.8758464908521
03378500,83.174963008025,83.174963008025
04080798,7.7987928666968065,7.7987928666968065
04183500,8.819500259786757,8.819500259786757
05420500,23.260601141764024,23.260601141764024
05446500,15.809267677091626,15.809267677091626
05447500,118.31795242252308,118.31795242252308
05457000,57.98279385326687,57.98279385326687
05464420,9.818448485595415,9.818448485595415
05464500,39.95726764766733,39.95726764766733
05481000,54.48249956434228,54.48249956434228
05483600,28.345974536909328,28.345974536909328
05484000,56.21629222637777,56.21629222637777
05484500,30.29892794334911,30.29892794334911
05515500,28.091676835387748,28.091676835387748
05517500,12.27477843254834,12.27477843254834
05518000,56.89917516483977,56.89917516483977
05554300,100,100
06478513,170.8576243851181,170.8576243851181
06481000,43.123479460144274,43.123479460144274
06808500,40.742997949920756,40.742997949920756
06892350,73.2576440059097,73.2576440059097
06892513,90.23793614415469,90.23793614415469
06934500,18.9590426948637,18.9590426948637
07144100,34.472886134994106,34.472886134994106
07289000,7.592822635930491,7.592822635930491
07374000,3.5050130475992636,3.5050130475992636
08155500,169.98667514580043,169.98667514580043
08188500,43.669245976674915,43.669245976674915
08195000,100,100
12212050,153.63380577752147,153.63380577752147
12510500,16.32630126056152,16.32630126056152
13095175,4.042090239861158,4.042090239861158
